0	gi|1381388522|ref|NC_037435.1|	627007	Porites harrisoni mitochondrion, complete genome	5.50e-43	185
0	gi|1020876200|gb|KU761954.1|	104759	Porites lobata isolate PlobGP2 mitochondrion, complete genome	5.50e-43	185
0	gi|1025625234|gb|KU572435.1|	104759	Porites lobata mitochondrion, complete genome	5.50e-43	185
0	gi|1000882561|gb|KU159432.1|	51062	Porites lutea voucher 466 mitochondrion, complete genome	5.50e-43	185
0	gi|882938926|emb|LN864762.1|	262591	Porites rus mitochondrial complete genome, isolate 14846/IV/SATS-LN/2007	5.50e-43	185
1	gi|71733159|ref|NC_007225.1|	48499	Orbicella franksi strain Pa01-5 mitochondrion, complete genome	5.50e-43	185
1	gi|156601922|gb|EF597014.1|	465056	Mycetophyllia sp. Mycet-1 12S small subunit ribosomal RNA gene, partial sequence; mitochondrial	5.50e-43	185
1	gi|156601918|gb|EF597010.1|	48499	Montastraea franksi isolate Mfr_601 12S small subunit ribosomal RNA gene, partial sequence; mitochondrial	5.50e-43	185
1	gi|156601916|gb|EF597008.1|	48498;48500	Montastraea faveolata isolate Mfav_752 12S small subunit ribosomal RNA gene, partial sequence; mitochondrial	5.50e-43	185
1	gi|156601911|gb|EF597003.1|	1428006	Diploria strigosa isolate Ds_601 12S small subunit ribosomal RNA gene, partial sequence; mitochondrial	5.50e-43	185
2	gi|2192937282|ref|NC_060802.1|	214969	Diploastrea heliopora mitochondrion, complete genome	5.50e-43	185
2	gi|1535792334|ref|NC_040169.1|	214970	Echinophyllia aspera voucher 6033 mitochondrion, complete genome	2.56e-41	180
2	gi|1391788738|gb|MF426186.1|	2282824	Paraechinophyllia variabilis voucher MD239 12S ribosomal RNA gene, partial sequence; mitochondrial	2.56e-41	180
2	gi|1391788734|gb|MF426182.1|	2282824	Paraechinophyllia variabilis voucher SA0794 12S ribosomal RNA gene, partial sequence; mitochondrial	2.56e-41	180
2	gi|1391788730|gb|MF426178.1|	2282824	Paraechinophyllia variabilis voucher MU165 12S ribosomal RNA gene, partial sequence; mitochondrial	2.56e-41	180
3	gi|753170724|gb|KP231535.1|	227230	Pavona decussata mitochondrion, complete genome	5.50e-43	185
3	gi|385276514|gb|JQ347847.1|	154330	Pavona frondifera isolate Xuwen21 12S ribosomal RNA gene, partial sequence; mitochondrial	5.50e-43	185
3	gi|385276513|gb|JQ347846.1|	154326	Hydnophora exesa isolate Xuwen20 12S ribosomal RNA gene, partial sequence; mitochondrial	5.50e-43	185
3	gi|156601992|gb|EF597084.1|	465077	Gardineroseris planulata isolate GAR 12S small subunit ribosomal RNA gene, partial sequence; mitochondrial	5.50e-43	185
3	gi|156601991|gb|EF597083.1|	46726	Pavona varians isolate PV 12S small subunit ribosomal RNA gene, partial sequence; mitochondrial	5.50e-43	185
4	gi|671729529|ref|NC_024671.1|	46698	Turbinaria peltata mitochondrion, complete genome	5.50e-43	185
4	gi|1033838299|gb|KX024567.1|	1856028	Tubastraea tagusensis mitochondrion, complete genome	5.50e-43	185
4	gi|1033838285|gb|KX024566.1|	46700	Tubastraea coccinea mitochondrion, complete genome	5.50e-43	185
4	gi|874508772|gb|KR824937.1|	1479642	Dendrophyllia arbuscula mitochondrion, complete genome	5.50e-43	185
4	gi|374429647|gb|JQ290080.1|	1140371	Dendrophyllia cribrosa mitochondrion, complete genome	5.50e-43	185
5	gi|1693293402|ref|NC_042795.1|	154326	Hydnophora exesa voucher 6044 mitochondrion, complete genome	5.50e-43	185
5	gi|1237938498|gb|KY094479.1|	126655	Favites abdita voucher 596 mitochondrion, complete genome	5.50e-43	185
5	gi|156601908|gb|EF597000.1|	46740	Hydnophora rigida isolate HYD 12S small subunit ribosomal RNA gene, partial sequence; mitochondrial	5.50e-43	185
5	gi|156601905|gb|EF596997.1|	46748	Catalaphyllia jardinei isolate CAJ 12S small subunit ribosomal RNA gene, partial sequence; mitochondrial	5.50e-43	185
5	gi|5802666|gb|AF177048.1|AF177048	1869259	Favia favus small subunit ribosomal RNA gene, partial sequence; mitochondrial gene for mitochondrial product	5.50e-43	185
6	gi|1391788712|gb|MF426160.1|	244858;865894;1917251;1917253;1917254;1917255;2201885;2201886	Lobophyllia recta voucher HS3118 12S ribosomal RNA gene, partial sequence; mitochondrial	5.50e-43	185
6	gi|1391788715|gb|MF426163.1|	46758;1328278	Lobophyllia diminuta voucher MY325 12S ribosomal RNA gene, partial sequence; mitochondrial	2.56e-41	180
6	gi|1391788711|gb|MF426159.1|	1150132;1328279;1328285;1917252;2201884	Lobophyllia costata voucher GA024 12S ribosomal RNA gene, partial sequence; mitochondrial	2.56e-41	180
6	gi|156601921|gb|EF597013.1|	46758	Lobophyllia hemprichii isolate LOH 12S small subunit ribosomal RNA gene, partial sequence; mitochondrial	2.56e-41	180
7	gi|19401191|gb|AF333063.1|	51073	Turbinaria mesenterina small subunit ribosomal RNA gene, partial sequence; mitochondrial gene for mitochondrial product	5.50e-43	185
7	gi|671729529|ref|NC_024671.1|	46698	Turbinaria peltata mitochondrion, complete genome	2.56e-41	180
7	gi|1033838299|gb|KX024567.1|	1856028	Tubastraea tagusensis mitochondrion, complete genome	2.56e-41	180
7	gi|1033838285|gb|KX024566.1|	46700	Tubastraea coccinea mitochondrion, complete genome	2.56e-41	180
7	gi|874508772|gb|KR824937.1|	1479642	Dendrophyllia arbuscula mitochondrion, complete genome	2.56e-41	180
8	gi|414145995|gb|JX911333.1|	1136245	Platygyra carnosa mitochondrion, complete genome	5.50e-43	185
8	gi|385276511|gb|JQ347844.1|	214987	Platygyra daedalea isolate Xuwen18 12S ribosomal RNA gene, partial sequence; mitochondrial	5.50e-43	185
8	gi|156601946|gb|EF597038.1|	130199	Anthemiphyllia spinifera isolate ANT 12S small subunit ribosomal RNA gene, partial sequence; mitochondrial	5.50e-43	185
8	gi|156601943|gb|EF597035.1|	46696	Caulastraea furcata isolate CAU 12S small subunit ribosomal RNA gene, partial sequence; mitochondrial	5.50e-43	185
